batches_per_epoch,epoch,full_train_acc,full_train_loss,fwd_time_in_epoch,learning_rate,len_train_ds,len_val_ds,paramnorm_transformer.decoder.blocks.0.ffn.ffn.0.weight,paramnorm_transformer.decoder.blocks.0.ffn.ffn.2.weight,paramnorm_transformer.decoder.blocks.0.ffn_norm.bias,paramnorm_transformer.decoder.blocks.0.ffn_norm.weight,paramnorm_transformer.decoder.blocks.0.self_attn.Wo.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.0.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.0.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.0.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.1.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.1.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.1.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.2.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.2.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.2.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.3.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.3.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.3.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn_norm.bias,paramnorm_transformer.decoder.blocks.0.self_attn_norm.weight,paramnorm_transformer.decoder.blocks.1.ffn.ffn.0.weight,paramnorm_transformer.decoder.blocks.1.ffn.ffn.2.weight,paramnorm_transformer.decoder.blocks.1.ffn_norm.bias,paramnorm_transformer.decoder.blocks.1.ffn_norm.weight,paramnorm_transformer.decoder.blocks.1.self_attn.Wo.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.0.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.0.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.0.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.1.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.1.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.1.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.2.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.2.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.2.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.3.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.3.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.3.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn_norm.bias,paramnorm_transformer.decoder.blocks.1.self_attn_norm.weight,paramnorm_transformer.embedding.weight,paramnorm_transformer.linear.weight,step,time_per_epoch,train_accuracy,train_loss,train_perplexity,val_accuracy,val_loss,val_perplexity
11.0,0,,,0.4558134078979492,0.0,5175.0,4234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1.7069590091705322,0.3478260934352875,5.566872596740723,261.6146545410156,,,
,2,0.30917873978614807,5.550838470458984,,,,,0.051061179488897324,0.02553071454167366,0.00015459735004696995,0.9999998807907104,0.05106976628303528,0.05151326581835747,0.05109728127717972,0.050633739680051804,0.05090971291065216,0.050859399139881134,0.05142362415790558,0.0509781576693058,0.05097195878624916,0.05028806999325752,0.050936710089445114,0.05066544935107231,0.05136140063405037,0.0001498796627856791,1.0,0.05102677643299103,0.025556882843375206,0.00015980949683580548,0.9999369382858276,0.05135314166545868,0.050705812871456146,0.05146695300936699,0.05141013115644455,0.05139831453561783,0.05069145932793617,0.050868142396211624,0.05070164054632187,0.05090257152915001,0.05081987753510475,0.05068378150463104,0.05118149518966675,0.05070938169956207,0.00015595104196108878,1.0,1.0018842220306396,0.05111253634095192,11,,,,,0.3542748987674713,5.542273998260498,255.25779724121094
11.0,2,,,0.39629268646240234,0.0010000000474974513,5175.0,4234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,2.3106446266174316,0.3671497404575348,5.539109706878662,254.4513702392578,,,
,4,0.52173912525177,5.50511360168457,,,,,0.051061224192380905,0.02553098276257515,0.0005416148924268782,0.9999997019767761,0.051068831235170364,0.05151322856545448,0.051097240298986435,0.050630923360586166,0.05090973153710365,0.050859417766332626,0.05142265930771828,0.05097813904285431,0.05097194388508797,0.05028902739286423,0.050936710089445114,0.05066545307636261,0.05136050283908844,0.0005262164631858468,0.9999998807907104,0.051026567816734314,0.025556636974215508,0.0005550947389565408,0.9997901916503906,0.05135272815823555,0.05070577561855316,0.051466912031173706,0.05140965059399605,0.05139833688735962,0.05069148540496826,0.0508686862885952,0.05070159584283829,0.05090252310037613,0.05081808939576149,0.050683796405792236,0.05118151009082794,0.05070948973298073,0.0005476459627971053,0.9999998807907104,1.0018842220306396,0.05110110342502594,23,,,,,0.4723665416240692,5.499673843383789,244.6121368408203
11.0,4,,,0.17054390907287598,0.0010000000474974513,5175.0,4234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,2.6004180908203125,0.5024154186248779,5.496295928955078,243.78726196289062,,,
,6,0.6376811861991882,5.465359210968018,,,,,0.05106145888566971,0.02553168311715126,0.0008837191271595657,0.9999994039535522,0.0510687381029129,0.0515131801366806,0.05109719559550285,0.050628989934921265,0.050909772515296936,0.05085945874452591,0.051422759890556335,0.0509781576693058,0.05097195506095886,0.05029064416885376,0.0509367361664772,0.0506654791533947,0.05136043578386307,0.0008603977621532977,0.9999998211860657,0.05102655291557312,0.02555684559047222,0.0008986781467683613,0.9996797442436218,0.051352765411138535,0.05070576071739197,0.05146689713001251,0.051409948617219925,0.051398348063230515,0.05069149285554886,0.05086943879723549,0.05070152506232262,0.05090245604515076,0.05081696808338165,0.05068380385637283,0.05118151754140854,0.05070975050330162,0.0008956813835538924,0.9999998211860657,1.00188410282135,0.05109288915991783,33,,,,,0.6849315166473389,5.462812423706055,235.75955200195312
11.0,6,,,0.3552532196044922,0.0010000000474974513,5175.0,4234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,2.0130386352539062,0.7342994809150696,5.452052593231201,233.23641967773438,,,
,8,0.7342995405197144,5.418393135070801,,,,,0.05106198042631149,0.025533050298690796,0.0012919970322400331,0.9999986290931702,0.05106943100690842,0.05151314288377762,0.05109715461730957,0.05062750354409218,0.05090979114174843,0.0508594773709774,0.05142446607351303,0.05097818374633789,0.05097198486328125,0.050293441861867905,0.05093670263886452,0.050665441900491714,0.05136033892631531,0.0012593657011166215,0.9999995827674866,0.051026757806539536,0.025557581335306168,0.0013025605585426092,0.9995749592781067,0.05135355889797211,0.050705742090940475,0.05146687850356102,0.05141064524650574,0.05139836668968201,0.05069151148200035,0.05087120085954666,0.050701405853033066,0.050902336835861206,0.050816841423511505,0.05068378895521164,0.051181498914957047,0.050710681825876236,0.0013115620240569115,0.999999463558197,1.0018839836120605,0.051085472106933594,45,,,,,0.8738781213760376,5.419373512268066,225.73765563964844
11.0,8,,,0.23788976669311523,0.0010000000474974513,5175.0,4234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,2.687046527862549,0.772946834564209,5.41018009185791,223.67185974121094,,,
,10,0.8502415418624878,5.3802385330200195,,,,,0.05106259137392044,0.02553454227745533,0.0016207247972488403,0.9999977350234985,0.05107063055038452,0.05151311308145523,0.05109712481498718,0.05062638968229294,0.050909820944070816,0.05085950717329979,0.05142683908343315,0.050978176295757294,0.05097198113799095,0.050296202301979065,0.050936680287122726,0.05066542327404022,0.05136125534772873,0.001582259894348681,0.9999991655349731,0.05102711543440819,0.02555857039988041,0.001625742414034903,0.9995163083076477,0.05135449394583702,0.05070570856332779,0.051466844975948334,0.05141214281320572,0.051398370414972305,0.05069151893258095,0.050872933119535446,0.050701312720775604,0.050902243703603745,0.050816215574741364,0.05068375915288925,0.05118146911263466,0.05071188136935234,0.0016464453656226397,0.9999991655349731,1.001883625984192,0.05108170956373215,55,,,,,0.9211147427558899,5.384185791015625,217.93258666992188
