batches_per_epoch,epoch,full_train_acc,full_train_loss,fwd_time_in_epoch,learning_rate,len_train_ds,len_val_ds,paramnorm_transformer.decoder.blocks.0.ffn.ffn.0.weight,paramnorm_transformer.decoder.blocks.0.ffn.ffn.2.weight,paramnorm_transformer.decoder.blocks.0.ffn_norm.bias,paramnorm_transformer.decoder.blocks.0.ffn_norm.weight,paramnorm_transformer.decoder.blocks.0.self_attn.Wo.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.0.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.0.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.0.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.1.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.1.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.1.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.2.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.2.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.2.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.3.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.3.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.3.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn_norm.bias,paramnorm_transformer.decoder.blocks.0.self_attn_norm.weight,paramnorm_transformer.decoder.blocks.1.ffn.ffn.0.weight,paramnorm_transformer.decoder.blocks.1.ffn.ffn.2.weight,paramnorm_transformer.decoder.blocks.1.ffn_norm.bias,paramnorm_transformer.decoder.blocks.1.ffn_norm.weight,paramnorm_transformer.decoder.blocks.1.self_attn.Wo.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.0.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.0.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.0.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.1.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.1.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.1.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.2.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.2.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.2.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.3.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.3.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.3.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn_norm.bias,paramnorm_transformer.decoder.blocks.1.self_attn_norm.weight,paramnorm_transformer.embedding.weight,paramnorm_transformer.linear.weight,step,time_per_epoch,train_accuracy,train_loss,train_perplexity,val_accuracy,val_loss,val_perplexity
14.0,0,,,0.04703068733215332,0.0,7057.0,2352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.21204209327697754,0.5101317763328552,5.548639297485352,256.8877868652344,,,
,2,0.5951537489891052,5.517696380615234,,,,,0.051088228821754456,0.025523554533720016,0.00029898923821747303,0.9999997019767761,0.051178306341171265,0.05097514018416405,0.051061440259218216,0.05062946304678917,0.051057275384664536,0.051365941762924194,0.050640497356653214,0.050075843930244446,0.05046950653195381,0.05114208161830902,0.05114693567156792,0.051198188215494156,0.050654083490371704,0.0002992322260979563,1.0,0.05108596384525299,0.025516021996736526,0.0003260828088968992,0.9998984336853027,0.05098683759570122,0.05169105902314186,0.05095800384879112,0.05075245723128319,0.05107344314455986,0.05127321556210518,0.05111279711127281,0.05100307986140251,0.0514134056866169,0.05082668364048004,0.051478419452905655,0.05067558214068413,0.051097407937049866,0.00031808632775209844,1.0,0.9992817044258118,0.05075457692146301,15,,,,,0.6377550959587097,5.5205769538879395,249.77911376953125
14.0,2,,,0.03831958770751953,0.0010000000474974513,7057.0,2352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,0.37916040420532227,0.5243021249771118,5.499167442321777,244.48829650878906,,,
,4,0.6376647353172302,5.455135822296143,,,,,0.05108841136097908,0.025524215772747993,0.0008084142464213073,0.9999992251396179,0.051179997622966766,0.050975073128938675,0.05106137692928314,0.05063052102923393,0.051057279109954834,0.05136594548821449,0.05063838139176369,0.05007580295205116,0.05046946555376053,0.05114702507853508,0.051146965473890305,0.051198214292526245,0.05065718665719032,0.0008087833994068205,0.9999998211860657,0.051086295396089554,0.02551700733602047,0.0008751556742936373,0.9997522234916687,0.05098722502589226,0.051691021770238876,0.05095796659588814,0.05075124278664589,0.0510733388364315,0.05127311125397682,0.05111508071422577,0.0510031059384346,0.05141343176364899,0.05082685500383377,0.051478415727615356,0.05067557841539383,0.05109759792685509,0.0008607025374658406,0.9999998211860657,0.999281644821167,0.05074349045753479,29,,,,,0.807823121547699,5.461854457855225,235.53379821777344
14.0,4,,,0.0379023551940918,0.0010000000474974513,7057.0,2352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,0.35794711112976074,0.7793680429458618,5.436895847320557,229.72796630859375,,,
,6,0.7935383319854736,5.393831253051758,,,,,0.05108899250626564,0.0255257710814476,0.001318829832598567,0.9999983906745911,0.051183171570301056,0.05097497999668121,0.05106128007173538,0.05063216760754585,0.05105729401111603,0.05136596038937569,0.05063735693693161,0.05007574334740639,0.050469402223825455,0.05115450546145439,0.05114700645208359,0.05119825527071953,0.05066214129328728,0.0013213829370215535,0.9999995827674866,0.05108700320124626,0.025518883019685745,0.0014173364033922553,0.9996532797813416,0.050988294184207916,0.051690977066755295,0.050957921892404556,0.050750598311424255,0.051073238253593445,0.05127301067113876,0.051117733120918274,0.0510031059384346,0.05141342803835869,0.050828177481889725,0.051478419452905655,0.05067557841539383,0.05109839141368866,0.0014055139617994428,0.9999994039535522,0.9992815852165222,0.05073670297861099,43,,,,,0.8928571343421936,5.404451370239258,222.39418029785156
14.0,6,,,0.03787374496459961,0.0010000000474974513,7057.0,2352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,0.2487320899963379,0.8643900156021118,5.377170562744141,216.40908813476562,,,
,8,0.8927306532859802,5.3361406326293945,,,,,0.051089927554130554,0.025528034195303917,0.0017988741165027022,0.9999971985816956,0.0511879101395607,0.05097489804029465,0.05106119439005852,0.05063488334417343,0.05105732008814812,0.051365986466407776,0.05063773691654205,0.05007568746805191,0.050469353795051575,0.051164306700229645,0.051147036254405975,0.051198288798332214,0.05066865682601929,0.0018043334130197763,0.9999988675117493,0.051088035106658936,0.02552139200270176,0.0019226964795961976,0.9996122121810913,0.050990030169487,0.05169092118740082,0.05095786973834038,0.050750669091939926,0.0510731115937233,0.051272884011268616,0.05112072080373764,0.051003098487854004,0.05141342431306839,0.05083059147000313,0.05147840455174446,0.05067557096481323,0.051099736243486404,0.001915464992634952,0.9999988079071045,0.9992812275886536,0.05073482170701027,57,,,,,0.7653061151504517,5.350449085235596,210.70291137695312
14.0,8,,,0.03742718696594238,0.0010000000474974513,7057.0,2352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,0.35598325729370117,0.8785603046417236,5.32089900970459,204.56771850585938,,,
,10,0.864389955997467,5.281543731689453,,,,,0.051091160625219345,0.02553085796535015,0.0022446124348789454,0.999995768070221,0.05119359865784645,0.050974778831005096,0.051061078906059265,0.050638120621442795,0.05105731636285782,0.05136598274111748,0.05063875764608383,0.050075627863407135,0.0504692941904068,0.051175620406866074,0.05114704743027687,0.05119829997420311,0.050676338374614716,0.0022549813147634268,0.9999982118606567,0.05108928680419922,0.025524305179715157,0.002396513009443879,0.9996249675750732,0.05099234730005264,0.05169086903333664,0.0509578138589859,0.050751205533742905,0.05107299983501434,0.05127276852726936,0.051124412566423416,0.05100308731198311,0.051413413137197495,0.05083353444933891,0.05147838592529297,0.05067554861307144,0.05110173299908638,0.0023862062953412533,0.9999979734420776,0.9992808699607849,0.05073742941021919,71,,,,,0.8503401279449463,5.299224853515625,200.18157958984375
