batches_per_epoch,epoch,full_train_acc,full_train_loss,fwd_time_in_epoch,learning_rate,len_train_ds,len_val_ds,paramnorm_transformer.decoder.blocks.0.ffn.ffn.0.weight,paramnorm_transformer.decoder.blocks.0.ffn.ffn.2.weight,paramnorm_transformer.decoder.blocks.0.ffn_norm.bias,paramnorm_transformer.decoder.blocks.0.ffn_norm.weight,paramnorm_transformer.decoder.blocks.0.self_attn.Wo.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.0.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.0.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.0.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.1.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.1.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.1.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.2.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.2.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.2.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.3.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.3.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.3.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn_norm.bias,paramnorm_transformer.decoder.blocks.0.self_attn_norm.weight,paramnorm_transformer.decoder.blocks.1.ffn.ffn.0.weight,paramnorm_transformer.decoder.blocks.1.ffn.ffn.2.weight,paramnorm_transformer.decoder.blocks.1.ffn_norm.bias,paramnorm_transformer.decoder.blocks.1.ffn_norm.weight,paramnorm_transformer.decoder.blocks.1.self_attn.Wo.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.0.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.0.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.0.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.1.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.1.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.1.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.2.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.2.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.2.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.3.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.3.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.3.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn_norm.bias,paramnorm_transformer.decoder.blocks.1.self_attn_norm.weight,paramnorm_transformer.embedding.weight,paramnorm_transformer.linear.weight,step,time_per_epoch,train_accuracy,train_loss,train_perplexity,val_accuracy,val_loss,val_perplexity
14.0,0,,,0.6127481460571289,0.0,7057.0,2352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1.9066531658172607,0.3117471933364868,5.541010856628418,254.93557739257812,,,
,2,0.4392801523208618,5.5139241218566895,,,,,0.05055263638496399,0.025310920551419258,0.00026813146541826427,0.9927592277526855,0.05085260793566704,0.05058998242020607,0.0511128306388855,0.05054910480976105,0.05091147869825363,0.05082584545016289,0.05073530599474907,0.05041603744029999,0.050948675721883774,0.05008566752076149,0.05045874044299126,0.05053013563156128,0.05107812210917473,0.0002686209336388856,0.9927593469619751,0.050627753138542175,0.02536826767027378,0.00027378968661651015,0.9926609396934509,0.05040289834141731,0.05030364915728569,0.05109858140349388,0.05005459114909172,0.050821661949157715,0.05080075189471245,0.050142284482717514,0.05092267692089081,0.050357475876808167,0.05081433057785034,0.05057207867503166,0.05080493167042732,0.050504788756370544,0.00026375087327323854,0.9927593469619751,0.9877018332481384,0.050779685378074646,15,,,,,0.46768707036972046,5.5233025550842285,250.46084594726562
14.0,2,,,0.4499998092651367,0.0010000000474974513,7057.0,2352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,3.016878843307495,0.453450471162796,5.496887683868408,243.93154907226562,,,
,4,0.5668131113052368,5.4608869552612305,,,,,0.049904488027095795,0.02498716488480568,0.0007215201039798558,0.9800234436988831,0.050200801342725754,0.04994100704789162,0.05045715719461441,0.049901481717824936,0.050258394330739975,0.05017385631799698,0.05008416622877121,0.04976929724216461,0.05029509961605072,0.049442779272794724,0.049811407923698425,0.049881890416145325,0.05042487382888794,0.0007233219803310931,0.9800238013267517,0.04997853934764862,0.025043556466698647,0.0007298450218513608,0.9797878861427307,0.04975549876689911,0.04965835437178612,0.05044308677315712,0.04941089451313019,0.050169650465250015,0.05014900863170624,0.049498300999403,0.05026945099234581,0.049711499363183975,0.050161466002464294,0.04992326721549034,0.05015312880277634,0.04985709488391876,0.0007103518000803888,0.9800238013267517,0.9750312566757202,0.050117820501327515,29,,,,,0.680272102355957,5.472652435302734,238.0908660888672
14.0,4,,,0.35733962059020996,0.0010000000474974513,7057.0,2352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,2.9786689281463623,0.5243021249771118,5.445990562438965,231.82681274414062,,,
,6,0.6376647353172302,5.41074800491333,,,,,0.04921926558017731,0.024645287543535233,0.0011787072289735079,0.966554582118988,0.04951303452253342,0.04925469309091568,0.049763742834329605,0.04921801760792732,0.04956774041056633,0.049484364688396454,0.04939701780676842,0.049085333943367004,0.0496039092540741,0.048764608800411224,0.04912681132555008,0.04919632524251938,0.0497356653213501,0.0011816860642284155,0.9665551781654358,0.049292173236608505,0.024700645357370377,0.0011810315772891045,0.9662266373634338,0.0490713007748127,0.04897592216730118,0.049749866127967834,0.04873087629675865,0.04948011413216591,0.049459755420684814,0.048817768692970276,0.04957864433526993,0.04902835935354233,0.049471572041511536,0.04923713579773903,0.04946383833885193,0.049172233790159225,0.001159093459136784,0.9665551781654358,0.9616312384605408,0.04942251741886139,43,,,,,0.7227891087532043,5.42494010925293,226.99774169921875
14.0,6,,,0.359661340713501,0.0010000000474974513,7057.0,2352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,2.1053338050842285,0.7226866483688354,5.397624969482422,220.88119506835938,,,
,8,0.6943460702896118,5.365327835083008,,,,,0.0485331267118454,0.024303285405039787,0.0016079486813396215,0.9530633091926575,0.048825472593307495,0.04856722429394722,0.04906917363405228,0.048534832894802094,0.04887593165040016,0.048793721944093704,0.04871052876114845,0.04840022325515747,0.04891156405210495,0.04808685928583145,0.0484410785138607,0.0485096201300621,0.049046002328395844,0.0016132121672853827,0.95306396484375,0.04860486090183258,0.024357525631785393,0.001599099487066269,0.952695906162262,0.048386719077825546,0.04829234257340431,0.04905548691749573,0.04805050417780876,0.04878944903612137,0.04876937344670296,0.04813707619905472,0.04888669401407242,0.04834409058094025,0.04878109320998192,0.04854985699057579,0.048773396760225296,0.04848692566156387,0.0015779243549332023,0.9530640840530396,0.9482091069221497,0.0487305223941803,57,,,,,0.7227891087532043,5.381391525268555,217.32447814941406
14.0,8,,,0.522836446762085,0.0010000000474974513,7057.0,2352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,2.9190726280212402,0.7651976346969604,5.352871894836426,211.21401977539062,,,
,10,0.864389955997467,5.323753356933594,,,,,0.047854334115982056,0.02396523207426071,0.0020082122646272182,0.9397120475769043,0.048146046698093414,0.0478869192302227,0.04838183522224426,0.047859445214271545,0.04819130897521973,0.048110250383615494,0.048032231628894806,0.047722239047288895,0.04822641611099243,0.04741758480668068,0.04776246100664139,0.047830045223236084,0.04836433753371239,0.0020167005714029074,0.9397129416465759,0.04792490601539612,0.02401837520301342,0.0019934121519327164,0.9393596649169922,0.04770979657769203,0.04761585593223572,0.048368312418460846,0.047377727925777435,0.04810596629977226,0.048086173832416534,0.04746413975954056,0.048201918601989746,0.04766691476106644,0.04809807613492012,0.047869723290205,0.0480901338160038,0.04780939593911171,0.001967033138498664,0.9397130608558655,0.9349262714385986,0.0480501651763916,71,,,,,0.7227891087532043,5.341437816619873,208.812744140625
