batches_per_epoch,epoch,full_train_acc,full_train_loss,fwd_time_in_epoch,learning_rate,len_train_ds,len_val_ds,paramnorm_transformer.decoder.blocks.0.ffn.ffn.0.weight,paramnorm_transformer.decoder.blocks.0.ffn.ffn.2.weight,paramnorm_transformer.decoder.blocks.0.ffn_norm.bias,paramnorm_transformer.decoder.blocks.0.ffn_norm.weight,paramnorm_transformer.decoder.blocks.0.self_attn.Wo.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.0.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.0.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.0.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.1.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.1.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.1.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.2.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.2.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.2.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.3.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.3.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.3.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn_norm.bias,paramnorm_transformer.decoder.blocks.0.self_attn_norm.weight,paramnorm_transformer.decoder.blocks.1.ffn.ffn.0.weight,paramnorm_transformer.decoder.blocks.1.ffn.ffn.2.weight,paramnorm_transformer.decoder.blocks.1.ffn_norm.bias,paramnorm_transformer.decoder.blocks.1.ffn_norm.weight,paramnorm_transformer.decoder.blocks.1.self_attn.Wo.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.0.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.0.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.0.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.1.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.1.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.1.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.2.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.2.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.2.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.3.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.3.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.3.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn_norm.bias,paramnorm_transformer.decoder.blocks.1.self_attn_norm.weight,paramnorm_transformer.embedding.weight,paramnorm_transformer.linear.weight,step,time_per_epoch,train_accuracy,train_loss,train_perplexity,val_accuracy,val_loss,val_perplexity
12.0,0,,,0.036551713943481445,0.0,6116.0,3293.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0.20440030097961426,0.4741661250591278,5.094776153564453,163.16732788085938,,,
,2,0.9646827578544617,4.6856160163879395,,,,,0.05126455798745155,0.02596897818148136,0.005292884539812803,0.9991253614425659,0.05157551169395447,0.05103310942649841,0.05107998847961426,0.051792703568935394,0.05153283476829529,0.05142192542552948,0.05080147087574005,0.05155184864997864,0.05179009959101677,0.05082770064473152,0.05120391398668289,0.05074973404407501,0.05139080807566643,0.005065838806331158,0.9995235800743103,0.051229871809482574,0.02606295794248581,0.009871426969766617,1.0013381242752075,0.05133409798145294,0.0517636276781559,0.050683945417404175,0.05158171430230141,0.05054425820708275,0.05130976065993309,0.05108245089650154,0.05130985379219055,0.05067559331655502,0.051391489803791046,0.051686301827430725,0.0513334684073925,0.051399458199739456,0.0059166778810322285,0.9989750385284424,1.001099705696106,0.05263524129986763,13,,,,,1.0932281017303467,4.6978912353515625,109.71556854248047
12.0,2,,,0.028844356536865234,0.0010000000474974513,6116.0,3293.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,0.3155350685119629,0.9156311750411987,4.675173759460449,107.25120544433594,,,
,4,1.177240014076233,4.617780685424805,,,,,0.05131397023797035,0.02605084702372551,0.005730208940804005,0.9990484714508057,0.05163782462477684,0.05131106823682785,0.051349442452192307,0.051875676959753036,0.051769379526376724,0.051662154495716095,0.050872255116701126,0.051771558821201324,0.05197468400001526,0.05086253955960274,0.051482222974300385,0.05099871754646301,0.05142989754676819,0.005195521749556065,0.999494194984436,0.05123893916606903,0.02622069977223873,0.012495188973844051,1.0005909204483032,0.051419612020254135,0.05185093730688095,0.05076693743467331,0.05161498859524727,0.05064854025840759,0.05139920115470886,0.05111552029848099,0.051385581493377686,0.05075176805257797,0.0514579601585865,0.051784150302410126,0.05144132673740387,0.05145493894815445,0.00687859021127224,0.9986512064933777,1.0011138916015625,0.05383084714412689,25,,,,,0.8502885103225708,4.642259120941162,103.77853393554688
12.0,4,,,0.03334546089172363,0.0010000000474974513,6116.0,3293.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,0.3476290702819824,0.9156311750411987,4.637251853942871,103.26018524169922,,,
,6,1.2262916564941406,4.611477375030518,,,,,0.05135255679488182,0.026113739237189293,0.005858605727553368,0.9992020726203918,0.051704928278923035,0.05165405198931694,0.05168348178267479,0.051947515457868576,0.052090853452682495,0.051973190158605576,0.050916895270347595,0.05209510028362274,0.05227645859122276,0.050962261855602264,0.051861926913261414,0.05133718252182007,0.05151089280843735,0.004967239685356617,0.9996448755264282,0.051254063844680786,0.026309365406632423,0.0138339102268219,0.9997477531433105,0.05149443820118904,0.05198477953672409,0.05089758336544037,0.05166931450366974,0.0508461631834507,0.05158909782767296,0.05118364095687866,0.05150452256202698,0.05089954659342766,0.051497701555490494,0.051891446113586426,0.05155710130929947,0.05149877816438675,0.007461834233254194,0.9985286593437195,1.0011643171310425,0.05463073030114174,37,,,,,0.8502885103225708,4.657219409942627,105.34275817871094
12.0,6,,,0.037743330001831055,0.0010000000474974513,6116.0,3293.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,0.22255635261535645,1.0464355945587158,4.620514869689941,101.54630279541016,,,
,8,1.1281882524490356,4.595915794372559,,,,,0.05140949785709381,0.026191938668489456,0.0055430252104997635,0.9993545413017273,0.0517997108399868,0.052312180399894714,0.05232320725917816,0.05208119377493858,0.052626341581344604,0.052492380142211914,0.051027700304985046,0.05261470377445221,0.05276785045862198,0.051087040454149246,0.05248749256134033,0.051905833184719086,0.05166148766875267,0.0043399762362241745,0.9997574090957642,0.051259011030197144,0.026352815330028534,0.01438122894614935,0.9988085031509399,0.05154532194137573,0.052342720329761505,0.051254794001579285,0.05172402784228325,0.05119866877794266,0.051920272409915924,0.051216982305049896,0.05177686735987663,0.051170747727155685,0.051498569548130035,0.05210232362151146,0.05176566541194916,0.05155658349394798,0.007553871721029282,0.9984151721000671,1.0012435913085938,0.055272385478019714,49,,,,,0.8806559443473816,4.650191783905029,104.60504913330078
12.0,8,,,0.03398299217224121,0.0010000000474974513,6116.0,3293.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,0.357072114944458,1.079136610031128,4.611136436462402,100.59840393066406,,,
,10,1.177240014076233,4.575761795043945,,,,,0.051504481583833694,0.026332363486289978,0.005139319691807032,0.9996890425682068,0.052027709782123566,0.053363166749477386,0.05331450328230858,0.05241086333990097,0.05343249812722206,0.05329102277755737,0.05130598321557045,0.05346561223268509,0.05360150337219238,0.05132870748639107,0.053378842771053314,0.05271325260400772,0.05196663364768028,0.0036500089336186647,0.9999659061431885,0.05129833146929741,0.026410797610878944,0.014759832993149757,0.9981030225753784,0.05164191871881485,0.05300688371062279,0.05189937725663185,0.051831286400556564,0.05199475213885307,0.052731771022081375,0.05131646618247032,0.05244476720690727,0.05177076533436775,0.05159817263484001,0.05276069417595863,0.0524277500808239,0.05161873251199722,0.007696462795138359,0.9984078407287598,1.0013490915298462,0.05584973096847534,61,,,,,0.6680837869644165,4.672034740447998,106.91506958007812
12.0,10,,,0.036377668380737305,0.0010000000474974513,6116.0,3293.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,0.21607089042663574,1.1118378639221191,4.599085807800293,99.3934097290039,,,
,12,1.6350555419921875,4.557698726654053,,,,,0.05174168571829796,0.026662996038794518,0.005192833952605724,1.0002760887145996,0.05245044082403183,0.05487966164946556,0.05481801554560661,0.05292455479502678,0.05480635166168213,0.05466891825199127,0.05183457210659981,0.05465902015566826,0.05476206913590431,0.051847245544195175,0.05480165779590607,0.05407986789941788,0.05246364325284958,0.0037668643053621054,1.0001757144927979,0.05140978470444679,0.026503730565309525,0.015216758474707603,0.997431218624115,0.051840536296367645,0.05409843102097511,0.053040724247694016,0.05211982503533363,0.05309507995843887,0.053800616413354874,0.051515184342861176,0.05377655103802681,0.05307973548769951,0.05182714760303497,0.05373594909906387,0.053395260125398636,0.05190123990178108,0.008050141856074333,0.9984843730926514,1.0014756917953491,0.05641208589076996,73,,,,,0.5466140508651733,4.715005874633789,111.6094741821289
12.0,12,,,0.03402447700500488,0.0010000000474974513,6116.0,3293.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,0.21887516975402832,1.1935906410217285,4.589385032653809,98.43388366699219,,,
,14,2.158273220062256,4.518980026245117,,,,,0.05205075070261955,0.027130234986543655,0.004700738005340099,1.001082181930542,0.05305004492402077,0.05667171999812126,0.05679047107696533,0.05366167798638344,0.056541040539741516,0.0564391128718853,0.05262834578752518,0.05622806027531624,0.05653202161192894,0.0525340810418129,0.056494809687137604,0.05594304949045181,0.05326453223824501,0.003790926653891802,1.0003770589828491,0.051530804485082626,0.026632819324731827,0.015734154731035233,0.9971965551376343,0.0521182157099247,0.05564851686358452,0.054798673838377,0.052465856075286865,0.054587751626968384,0.055621903389692307,0.05190160498023033,0.055488552898168564,0.05500447750091553,0.052069127559661865,0.05527590587735176,0.05513343960046768,0.052237607538700104,0.008152884431183338,0.9985406994819641,1.0016411542892456,0.05701056867837906,85,,,,,0.2125721275806427,4.792677402496338,120.6239013671875
12.0,14,,,0.03706550598144531,0.0010000000474974513,6116.0,3293.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,0.20920991897583008,1.4061477184295654,4.567327499389648,96.28643798828125,,,
,16,2.9103987216949463,4.479969024658203,,,,,0.05243082344532013,0.027691883966326714,0.004899309482425451,1.002113699913025,0.053800489753484726,0.0585814043879509,0.059099774807691574,0.05463234707713127,0.058210697025060654,0.058329638093709946,0.05337940528988838,0.05804658308625221,0.058671873062849045,0.05333265662193298,0.05820443481206894,0.05793619528412819,0.05420059710741043,0.004766596481204033,1.000627875328064,0.051708877086639404,0.02683771774172783,0.016540715470910072,0.997706949710846,0.05250498279929161,0.05718398094177246,0.056844618171453476,0.052852146327495575,0.056280095130205154,0.057803377509117126,0.052331067621707916,0.057099420577287674,0.05708560720086098,0.05245201289653778,0.05712946131825447,0.05732467398047447,0.05267585068941116,0.008405494503676891,0.9988576173782349,1.0017939805984497,0.05769600719213486,97,,,,,0.06073489040136337,4.869204521179199,130.21728515625
12.0,16,,,0.040677785873413086,0.0010000000474974513,6116.0,3293.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,0.37269067764282227,1.6023545265197754,4.5462541580200195,94.27859497070312,,,
,18,3.286461591720581,4.451817512512207,,,,,0.05282241478562355,0.028279034420847893,0.005175394471734762,1.0032085180282593,0.054553382098674774,0.060487762093544006,0.06147461384534836,0.05550482124090195,0.060034625232219696,0.06045999005436897,0.05422014743089676,0.05990515649318695,0.06086030229926109,0.054134443402290344,0.05995519459247589,0.06004652380943298,0.05509093403816223,0.0054095727391541,1.0006777048110962,0.051926370710134506,0.027136797085404396,0.01777244172990322,0.9989804625511169,0.052953045815229416,0.05897896736860275,0.059300005435943604,0.0533735454082489,0.057901881635189056,0.06020313501358032,0.052843526005744934,0.059092335402965546,0.05985725298523903,0.05293552204966545,0.059183429926633835,0.05994299799203873,0.05316944047808647,0.008727035485208035,0.9988685846328735,1.0019402503967285,0.058486759662628174,109,,,,,0.030367445200681686,4.951903343200684,141.4439239501953
12.0,18,,,0.03389692306518555,0.0010000000474974513,6116.0,3293.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,0.23489904403686523,1.7985610961914062,4.516318321228027,91.49810791015625,,,
,20,3.9895355701446533,4.406190395355225,,,,,0.05329561606049538,0.028941305354237556,0.005453853402286768,1.004623532295227,0.055403534322977066,0.06218049302697182,0.06376426666975021,0.056436363607645035,0.061668384820222855,0.0625302866101265,0.05515918508172035,0.06164985150098801,0.06313756108283997,0.05495230108499527,0.061743855476379395,0.062359921634197235,0.056084029376506805,0.00622920086607337,1.0008498430252075,0.05217991769313812,0.027501409873366356,0.01927110180258751,1.0014863014221191,0.05344332754611969,0.06083738058805466,0.0618753582239151,0.05404064804315567,0.05977325141429901,0.0629054382443428,0.053369637578725815,0.06099560111761093,0.06255462020635605,0.05341311916708946,0.06130528077483177,0.06254690885543823,0.053732190281152725,0.009033010341227055,0.9990856647491455,1.0020846128463745,0.059436120092868805,121,,,,,0.0,5.016266822814941,150.8471221923828
12.0,20,,,0.03380990028381348,0.0010000000474974513,6116.0,3293.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,0.22220945358276367,2.223675489425659,4.484543323516846,88.63646697998047,,,
,22,4.153040885925293,4.368171691894531,,,,,0.05375014990568161,0.029578600078821182,0.005694080144166946,1.0061575174331665,0.05625831335783005,0.06389381736516953,0.06615853309631348,0.05749288946390152,0.06347454339265823,0.0647524893283844,0.05594340339303017,0.06342573463916779,0.06531143188476562,0.05584220588207245,0.06326977908611298,0.06442927569150925,0.05703561380505562,0.006990742404013872,1.0009604692459106,0.052502844482660294,0.02797924540936947,0.021346671506762505,1.005350947380066,0.053994182497262955,0.06278035044670105,0.0646863579750061,0.05465821921825409,0.06146351620554924,0.06553132086992264,0.05398844555020332,0.0630483627319336,0.0654975175857544,0.0539628267288208,0.06351672857999802,0.06532720476388931,0.05431203916668892,0.009426893666386604,0.9992936253547668,1.0022274255752563,0.06053708493709564,133,,,,,0.0,5.091858386993408,162.69192504882812
12.0,22,,,0.033273935317993164,0.0010000000474974513,6116.0,3293.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,0.20905590057373047,2.6814911365509033,4.446305274963379,85.3111572265625,,,
,24,5.493786334991455,4.319972515106201,,,,,0.05427389591932297,0.030257951468229294,0.006098010111600161,1.0079224109649658,0.057149507105350494,0.06548721343278885,0.06836143136024475,0.05832638591527939,0.06500416249036789,0.06678606569766998,0.056852325797080994,0.06508145481348038,0.06752055883407593,0.05670757591724396,0.06490359455347061,0.06668093055486679,0.057990849018096924,0.00767154898494482,1.0010954141616821,0.05292043834924698,0.028586633503437042,0.023693891242146492,1.0104854106903076,0.054625894874334335,0.06487351655960083,0.06774552911520004,0.055436521768569946,0.06342507898807526,0.06843513995409012,0.05462697893381119,0.06503091007471085,0.06842149794101715,0.054646894335746765,0.06570862233638763,0.0679979994893074,0.05488710105419159,0.009675907902419567,0.9993901252746582,1.0023611783981323,0.061776384711265564,145,,,,,0.0,5.128156661987305,168.70584106445312
12.0,24,,,0.0333859920501709,0.0010000000474974513,6116.0,3293.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,0.21119356155395508,3.204709053039551,4.408122539520264,82.11515045166016,,,
,26,6.2295613288879395,4.266671657562256,,,,,0.054821789264678955,0.030977673828601837,0.0066781481727957726,1.009706735610962,0.05797605216503143,0.06683924049139023,0.07034759968519211,0.05915294215083122,0.06659118086099625,0.06892143189907074,0.05775227025151253,0.06670255213975906,0.06969339400529861,0.05750468000769615,0.06622857600450516,0.06854544579982758,0.05877188220620155,0.008697071112692356,1.001289963722229,0.05339682102203369,0.02927946299314499,0.02616986632347107,1.0168617963790894,0.055253010243177414,0.06690151244401932,0.07063226401805878,0.05629027634859085,0.06522289663553238,0.071083202958107,0.055173709988594055,0.06684325635433197,0.07104732096195221,0.05523024871945381,0.06782923638820648,0.07065413892269135,0.055549368262290955,0.009923712350428104,0.999566376209259,1.0025098323822021,0.0631401315331459,157,,,,,0.0,5.195539474487305,180.46548461914062
12.0,26,,,0.03453779220581055,0.0010000000474974513,6116.0,3293.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,0.21986150741577148,3.8423805236816406,4.357561111450195,78.06651306152344,,,
,28,7.717462062835693,4.2059102058410645,,,,,0.05533701926469803,0.03163544833660126,0.006666875910013914,1.0116575956344604,0.05885354429483414,0.06834591180086136,0.07254169881343842,0.0600334070622921,0.06803024560213089,0.07076496630907059,0.05852733179926872,0.06822526454925537,0.07166029512882233,0.058391474187374115,0.06761132180690765,0.07048997282981873,0.059564605355262756,0.00890273880213499,1.001429557800293,0.05400228872895241,0.030139554291963577,0.029211051762104034,1.0251039266586304,0.05592476576566696,0.06877028197050095,0.0733141079545021,0.05713270604610443,0.06704448163509369,0.0736646056175232,0.05590685084462166,0.06863701343536377,0.07359358668327332,0.05580456554889679,0.07002080231904984,0.07328247278928757,0.0561530664563179,0.010095043107867241,0.9997511506080627,1.0026334524154663,0.06466589868068695,169,,,,,0.0,5.260460376739502,192.57012939453125
12.0,28,,,0.033637046813964844,0.0010000000474974513,6116.0,3293.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,0.2104358673095703,4.4800519943237305,4.3115234375,74.5539779663086,,,
,30,8.109875679016113,4.189064979553223,,,,,0.05586029216647148,0.032307278364896774,0.007692570798099041,1.013731598854065,0.05964379385113716,0.0698210746049881,0.07456894963979721,0.06086684763431549,0.06950679421424866,0.07275542616844177,0.05939602851867676,0.06978484243154526,0.07363708317279816,0.05912714824080467,0.0688544288277626,0.07225026190280914,0.06040871888399124,0.009265165776014328,1.0015573501586914,0.054675620049238205,0.03106057271361351,0.032528311014175415,1.0343382358551025,0.05660834163427353,0.07058209925889969,0.07591069489717484,0.05793832987546921,0.0688430517911911,0.07623875886201859,0.05653961002826691,0.07057148218154907,0.07625707238912582,0.056466616690158844,0.07203983515501022,0.07567401230335236,0.05690152570605278,0.01086745597422123,0.9997786283493042,1.0027687549591064,0.0663154199719429,181,,,,,0.0,5.211898326873779,183.4419708251953
12.0,30,,,0.033357858657836914,0.0010000000474974513,6116.0,3293.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,0.2107253074645996,5.689993381500244,4.25577449798584,70.51140594482422,,,
,32,10.889470100402832,4.084841728210449,,,,,0.05645633488893509,0.03304773196578026,0.0077833374962210655,1.015760898590088,0.06053024157881737,0.07116934657096863,0.0765107274055481,0.06161261722445488,0.07085150480270386,0.07463348656892776,0.06020251289010048,0.07129716128110886,0.07562398165464401,0.060085609555244446,0.07003739476203918,0.0739467665553093,0.06115329638123512,0.009968453086912632,1.0016297101974487,0.05541694909334183,0.03205905109643936,0.035592950880527496,1.044985055923462,0.057323627173900604,0.07241370528936386,0.07837586849927902,0.058837078511714935,0.0705198273062706,0.07852528989315033,0.057268161326646805,0.0723419040441513,0.07873424887657166,0.057124581187963486,0.07400505989789963,0.07799797505140305,0.057592689990997314,0.010793431662023067,0.9998472332954407,1.0029113292694092,0.06799114495515823,193,,,,,0.0,5.307016849517822,201.74749755859375
12.0,32,,,0.033935546875,0.0010000000474974513,6116.0,3293.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,0.3585999011993408,7.275997161865234,4.189250946044922,65.97335815429688,,,
,34,10.9058198928833,4.032482624053955,,,,,0.05705123394727707,0.03377630189061165,0.008203511126339436,1.0181159973144531,0.061362963169813156,0.07243025302886963,0.07830609381198883,0.062420979142189026,0.07209888845682144,0.07629046589136124,0.06102882698178291,0.07260514050722122,0.07743068039417267,0.06079186126589775,0.07112618535757065,0.07553087174892426,0.061893150210380554,0.010542410425841808,1.001776933670044,0.05630951374769211,0.03320269659161568,0.03907563537359238,1.0570720434188843,0.05809595063328743,0.07414408028125763,0.08066686987876892,0.05976096913218498,0.07223949581384659,0.08090097457170486,0.05806003883481026,0.07392390817403793,0.0810021460056305,0.057841356843709946,0.07581543922424316,0.08017316460609436,0.05835091322660446,0.011049184016883373,0.9999679327011108,1.0030362606048584,0.06983736902475357,205,,,,,0.030367445200681686,5.350663185119629,210.74801635742188
12.0,34,,,0.03458976745605469,0.0010000000474974513,6116.0,3293.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,0.2306220531463623,7.603007793426514,4.136995315551758,62.61439895629883,,,
