batches_per_epoch,epoch,full_train_acc,full_train_loss,fwd_time_in_epoch,learning_rate,len_train_ds,len_val_ds,paramnorm_transformer.decoder.blocks.0.ffn.ffn.0.weight,paramnorm_transformer.decoder.blocks.0.ffn.ffn.2.weight,paramnorm_transformer.decoder.blocks.0.ffn_norm.bias,paramnorm_transformer.decoder.blocks.0.ffn_norm.weight,paramnorm_transformer.decoder.blocks.0.self_attn.Wo.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.0.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.0.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.0.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.1.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.1.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.1.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.2.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.2.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.2.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.3.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.3.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.3.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn_norm.bias,paramnorm_transformer.decoder.blocks.0.self_attn_norm.weight,paramnorm_transformer.decoder.blocks.1.ffn.ffn.0.weight,paramnorm_transformer.decoder.blocks.1.ffn.ffn.2.weight,paramnorm_transformer.decoder.blocks.1.ffn_norm.bias,paramnorm_transformer.decoder.blocks.1.ffn_norm.weight,paramnorm_transformer.decoder.blocks.1.self_attn.Wo.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.0.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.0.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.0.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.1.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.1.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.1.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.2.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.2.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.2.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.3.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.3.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.3.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn_norm.bias,paramnorm_transformer.decoder.blocks.1.self_attn_norm.weight,paramnorm_transformer.embedding.weight,paramnorm_transformer.linear.weight,step,time_per_epoch,train_accuracy,train_loss,train_perplexity,val_accuracy,val_loss,val_perplexity
7.0,0,,,0.07576274871826172,0.0,3293.0,6116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.27201318740844727,0.33404189348220825,5.598745346069336,270.08734130859375,,,
,2,0.36440935730934143,5.554451942443848,,,,,0.051070667803287506,0.02552509866654873,0.00020705469069071114,0.9999788403511047,0.05102454498410225,0.050425104796886444,0.050853971391916275,0.05107672140002251,0.05100082978606224,0.051329199224710464,0.05036257952451706,0.051371145993471146,0.05121598392724991,0.05110852047801018,0.05090607702732086,0.05067973583936691,0.051195621490478516,0.0002063289430225268,0.9999794363975525,0.05114123597741127,0.02558528259396553,0.00021318215294741094,0.9998083114624023,0.05093981325626373,0.05066162347793579,0.05161671340465546,0.050902776420116425,0.05095969885587692,0.05028347298502922,0.051782116293907166,0.05047902092337608,0.050022467970848083,0.05102290213108063,0.05076310411095619,0.051373064517974854,0.05087738856673241,0.00020623115415219218,0.9999772906303406,1.001312017440796,0.051132380962371826,7,,,,,0.4251144230365753,5.571051597595215,262.7102355957031
7.0,2,,,0.0244143009185791,7.000000186963007e-05,3293.0,6116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.389967679977417,0.5466139912605286,5.530176162719727,252.18832397460938,,,
,4,0.8806559443473816,5.43262243270874,,,,,0.05107476934790611,0.025536105036735535,0.0007506034453399479,0.9999011754989624,0.05102044716477394,0.050421103835105896,0.05084691196680069,0.05107065290212631,0.05099703371524811,0.05132265388965607,0.05035986751317978,0.05137183517217636,0.05121634528040886,0.05110345780849457,0.05090511217713356,0.05067954584956169,0.05119284242391586,0.0007422621711157262,0.9999103546142578,0.05114144831895828,0.02559041604399681,0.0007631347980350256,0.9993632435798645,0.05094096437096596,0.0506586953997612,0.05161507427692413,0.05090649798512459,0.050950512290000916,0.05027620121836662,0.05179519206285477,0.050480298697948456,0.050023771822452545,0.05101688578724861,0.05075990408658981,0.05137186869978905,0.05086522921919823,0.0007443895447067916,0.9998998641967773,1.0012375116348267,0.05111411213874817,15,,,,,0.8011772036552429,5.460125923156738,235.1270294189453
7.0,4,,,0.023163318634033203,9.999999747378752e-05,3293.0,6116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,0.34163832664489746,0.8199210166931152,5.425836563110352,227.20132446289062,,,
,6,0.971758246421814,5.352042198181152,,,,,0.05108129233121872,0.0255491454154253,0.0011402844684198499,0.9998244643211365,0.05101969093084335,0.05041864141821861,0.050841715186834335,0.05107172206044197,0.05099612474441528,0.051319487392902374,0.050359465181827545,0.05137426406145096,0.05121795833110809,0.05110138654708862,0.05090747028589249,0.050681550055742264,0.05119328200817108,0.001125312759540975,0.9998472332954407,0.05114545673131943,0.02559872530400753,0.0011516595259308815,0.9991095066070557,0.05094391480088234,0.050658054649829865,0.05161455646157265,0.05091370642185211,0.050944406539201736,0.05027101933956146,0.051807597279548645,0.050482720136642456,0.05002648010849953,0.05101433023810387,0.05075894296169281,0.05137154832482338,0.05085708945989609,0.001131683005951345,0.9998263120651245,1.0011762380599976,0.05110872536897659,21,,,,,1.0137344598770142,5.386725902557373,218.4868621826172
7.0,6,,,0.05821585655212402,9.999999747378752e-05,3293.0,6116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,0.23059940338134766,0.9110234379768372,5.332516670227051,206.9581756591797,,,
,8,1.2146978378295898,5.255573272705078,,,,,0.051093775779008865,0.02557055465877056,0.0016049210680648685,0.9997092485427856,0.05102275311946869,0.05041753128170967,0.05083824694156647,0.05107652395963669,0.0509970523416996,0.05131778120994568,0.050361912697553635,0.051379915326833725,0.05122283473610878,0.051102831959724426,0.05091112107038498,0.05068538710474968,0.05119817703962326,0.0015798108652234077,0.9997560381889343,0.05115451663732529,0.025613626465201378,0.00161081925034523,0.9989151358604431,0.050948336720466614,0.05065877363085747,0.051615554839372635,0.050925079733133316,0.05093854293227196,0.05026517063379288,0.05182540416717529,0.050488363951444626,0.05003250762820244,0.051011260598897934,0.050760142505168915,0.05137355253100395,0.05084695294499397,0.0015874054515734315,0.999713659286499,1.0010905265808105,0.05111502483487129,29,,,,,1.1118377447128296,5.298208236694336,199.97816467285156
7.0,8,,,0.026498079299926758,9.999999747378752e-05,3293.0,6116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,0.3498806953430176,1.0932281017303467,5.250732898712158,190.70599365234375,,,
,10,1.2450653314590454,5.18867301940918,,,,,0.051105137914419174,0.025588253512978554,0.0019158629002049565,0.9996150135993958,0.05102802813053131,0.050418462604284286,0.05083763226866722,0.05108306556940079,0.050999369472265244,0.05131804198026657,0.05036673694849014,0.051384735852479935,0.05122686177492142,0.05110733211040497,0.05091436579823494,0.05068876966834068,0.051203738898038864,0.0018873995868489146,0.9996802806854248,0.051162734627723694,0.02562602050602436,0.0019213773775845766,0.9988652467727661,0.05095299333333969,0.05065988376736641,0.05161648988723755,0.050936441868543625,0.05093635246157646,0.05026249587535858,0.051839519292116165,0.05049457028508186,0.050039827823638916,0.05100957676768303,0.050760552287101746,0.05137486755847931,0.05084134638309479,0.0018853090004995465,0.9996206760406494,1.0010236501693726,0.05112852901220322,35,,,,,1.1118377447128296,5.235916614532471,187.90127563476562
