batches_per_epoch,epoch,full_train_acc,full_train_loss,fwd_time_in_epoch,learning_rate,len_train_ds,len_val_ds,paramnorm_transformer.decoder.blocks.0.ffn.ffn.0.weight,paramnorm_transformer.decoder.blocks.0.ffn.ffn.2.weight,paramnorm_transformer.decoder.blocks.0.ffn_norm.bias,paramnorm_transformer.decoder.blocks.0.ffn_norm.weight,paramnorm_transformer.decoder.blocks.0.self_attn.Wo.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.0.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.0.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.0.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.1.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.1.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.1.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.2.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.2.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.2.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.3.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.3.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.3.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn_norm.bias,paramnorm_transformer.decoder.blocks.0.self_attn_norm.weight,paramnorm_transformer.decoder.blocks.1.ffn.ffn.0.weight,paramnorm_transformer.decoder.blocks.1.ffn.ffn.2.weight,paramnorm_transformer.decoder.blocks.1.ffn_norm.bias,paramnorm_transformer.decoder.blocks.1.ffn_norm.weight,paramnorm_transformer.decoder.blocks.1.self_attn.Wo.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.0.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.0.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.0.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.1.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.1.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.1.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.2.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.2.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.2.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.3.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.3.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.3.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn_norm.bias,paramnorm_transformer.decoder.blocks.1.self_attn_norm.weight,paramnorm_transformer.embedding.weight,paramnorm_transformer.linear.weight,step,time_per_epoch,train_accuracy,train_loss,train_perplexity,val_accuracy,val_loss,val_perplexity
6.0,0,,,0.024972200393676758,0.0,2823.0,6586.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.1296827793121338,0.5313496589660645,5.524449825286865,250.74835205078125,,,
,2,1.0272759199142456,5.192634582519531,,,,,0.051068246364593506,0.025625072419643402,0.0019833985716104507,0.9999739527702332,0.05088428780436516,0.05169375240802765,0.05175868421792984,0.051148056983947754,0.0507800430059433,0.05112610384821892,0.050741419196128845,0.051307372748851776,0.05157879739999771,0.05120202153921127,0.05078745633363724,0.05072935298085213,0.050948742777109146,0.0019664978608489037,0.999982476234436,0.05112786591053009,0.02557254768908024,0.0020359240006655455,0.9989627599716187,0.05097272992134094,0.05147233232855797,0.05159786716103554,0.052403081208467484,0.05167973041534424,0.05128103122115135,0.051199764013290405,0.05068568140268326,0.05125534534454346,0.050469204783439636,0.05128050968050957,0.05113549903035164,0.051325175911188126,0.0020266573410481215,0.9998753070831299,0.994740903377533,0.05121280252933502,7,,,,,0.8654721975326538,5.251095294952393,190.77511596679688
6.0,2,,,0.018820524215698242,0.0006000000284984708,2823.0,6586.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0.24922418594360352,0.885582685470581,5.191003799438477,179.64878845214844,,,
,4,1.8420120477676392,4.837680339813232,,,,,0.05119882896542549,0.025910045951604843,0.004792034160345793,0.9997287392616272,0.05100387707352638,0.05180959030985832,0.05187545716762543,0.05120830610394478,0.05090751126408577,0.0512518472969532,0.05084844306111336,0.051407039165496826,0.05168093740940094,0.05130108818411827,0.050843775272369385,0.050785426050424576,0.05111561715602875,0.004739830270409584,0.9997819066047668,0.05124169588088989,0.025826888158917427,0.005144617985934019,0.9988005757331848,0.051092468202114105,0.05153382197022438,0.05165356397628784,0.05251374840736389,0.05173006281256676,0.05131220445036888,0.051288068294525146,0.05073744058609009,0.05131648853421211,0.05060993880033493,0.05137015879154205,0.051227275282144547,0.051419369876384735,0.004741070792078972,0.9995313882827759,0.9946944117546082,0.051508814096450806,13,,,,,0.7591861486434937,4.916378498077393,136.50735473632812
6.0,4,,,0.018870830535888672,0.0010000000474974513,2823.0,6586.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.2423408031463623,1.5586256980895996,4.8460516929626465,127.23702239990234,,,
,6,1.8065887689590454,4.6640520095825195,,,,,0.051329996436834335,0.026214584708213806,0.006564173381775618,0.9995951056480408,0.05115219205617905,0.051960498094558716,0.0520307756960392,0.05131681263446808,0.05107763409614563,0.05142179876565933,0.05098636448383331,0.051562581211328506,0.05183077231049538,0.05143940448760986,0.05095991864800453,0.05089598149061203,0.0512969046831131,0.006440346594899893,0.9996626377105713,0.051351822912693024,0.026088278740644455,0.00829936284571886,1.0005046129226685,0.05123409256339073,0.05162520706653595,0.05173880606889725,0.05266595259308815,0.05183056369423866,0.051397573202848434,0.05140971019864082,0.050834160298109055,0.05142112821340561,0.0507340170443058,0.05149449408054352,0.05135011300444603,0.05153781920671463,0.0064157224260270596,0.9993356466293335,0.9946641325950623,0.05211208015680313,19,,,,,0.7591861486434937,4.7415900230407715,114.6163101196289
6.0,6,,,0.016884565353393555,0.0010000000474974513,2823.0,6586.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,0.12010431289672852,1.7357420921325684,4.674840927124023,107.21551513671875,,,
,8,1.9837052822113037,4.594456672668457,,,,,0.051425594836473465,0.026432231068611145,0.007437773514539003,0.9996012449264526,0.051259011030197144,0.052120234817266464,0.05219272896647453,0.05140937492251396,0.05124770477414131,0.05159058794379234,0.05109567567706108,0.05173058062791824,0.05199366807937622,0.051553551107645035,0.05109819024801254,0.0510285422205925,0.05142440274357796,0.007224278058856726,0.9996619820594788,0.05142268165946007,0.026269378140568733,0.011464161798357964,1.0030038356781006,0.051348596811294556,0.05171314999461174,0.05182155594229698,0.05279221758246422,0.051929157227277756,0.05148649215698242,0.05149907246232033,0.0509362667798996,0.051526859402656555,0.050840940326452255,0.05162131041288376,0.051474202424287796,0.05163060501217842,0.007285099942237139,0.9993087649345398,0.9946656823158264,0.05283632501959801,25,,,,,0.5921651721000671,4.676963806152344,107.443359375
6.0,8,,,0.018558025360107422,0.0010000000474974513,2823.0,6586.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,0.22824406623840332,1.6648955345153809,4.606363296508789,100.11937713623047,,,
,10,2.373361587524414,4.557413101196289,,,,,0.051485929638147354,0.02656508795917034,0.007675760891288519,0.9997104406356812,0.05132931098341942,0.052279531955718994,0.05235479027032852,0.051481131464242935,0.051413122564554214,0.05175667628645897,0.051176439970731735,0.05190397799015045,0.05216296762228012,0.05164189636707306,0.051247820258140564,0.05117208510637283,0.05150488764047623,0.007389179430902004,0.999747633934021,0.05146811157464981,0.02638128399848938,0.014196104370057583,1.0055418014526367,0.05142732709646225,0.051787156611680984,0.051892854273319244,0.052861254662275314,0.05202022194862366,0.05157218128442764,0.05158085376024246,0.05103258043527603,0.051623012870550156,0.0509088896214962,0.051740989089012146,0.05159265175461769,0.05168486759066582,0.0076035261154174805,0.9994111657142639,0.99469393491745,0.053523533046245575,31,,,,,0.6680837869644165,4.6548943519592285,105.0981216430664
