batches_per_epoch,epoch,full_train_acc,full_train_loss,fwd_time_in_epoch,learning_rate,len_train_ds,len_val_ds,paramnorm_embedding.weight,paramnorm_mlp.0.bias,paramnorm_mlp.0.weight,paramnorm_mlp.3.bias,paramnorm_mlp.3.weight,paramnorm_mlp.6.bias,paramnorm_mlp.6.weight,step,time_per_epoch,train_accuracy,train_loss,train_perplexity,val_accuracy,val_loss,val_perplexity
14.0,0,,,0.014942646026611328,0.0,6795.0,4530.0,,,,,,,,13,0.10103011131286621,0.5150846242904663,5.685846328735352,294.6671447753906,,,
,2,0.6033848524093628,5.685409069061279,,,,,0.9951224327087402,0.024422580376267433,0.023895373567938805,0.03590044379234314,0.03608352318406105,0.03854098170995712,0.03606904298067093,15,,,,,0.6401765942573547,5.68372106552124,294.04156494140625
14.0,2,,,0.008595466613769531,0.0010000000474974513,6795.0,4530.0,,,,,,,,27,0.198455810546875,0.6916850805282593,5.685149669647217,294.4619140625,,,
,4,0.647534966468811,5.684090614318848,,,,,0.9951224327087402,0.024426760151982307,0.02389536052942276,0.03587453067302704,0.03608351945877075,0.03841009363532066,0.036068953573703766,29,,,,,0.7064017653465271,5.68245792388916,293.6703796386719
14.0,4,,,0.008596658706665039,0.0010000000474974513,6795.0,4530.0,,,,,,,,41,0.18740510940551758,0.7064017653465271,5.683682441711426,294.0301818847656,,,
,6,0.6769683957099915,5.682156562805176,,,,,0.9951224327087402,0.024433530867099762,0.023895347490906715,0.035845864564180374,0.036083515733480453,0.03826805576682091,0.03606885299086571,43,,,,,0.7284768223762512,5.680607318878174,293.12738037109375
14.0,6,,,0.008489131927490234,0.0010000000474974513,6795.0,4530.0,,,,,,,,55,0.06874394416809082,0.6328182816505432,5.681403636932373,293.3609313964844,,,
,8,0.6328182816505432,5.6796956062316895,,,,,0.9951224327087402,0.02444295771420002,0.023895330727100372,0.03582948446273804,0.036083515733480453,0.038177259266376495,0.03606880456209183,57,,,,,0.6181015372276306,5.678252696990967,292.43798828125
14.0,8,,,0.008703231811523438,0.0010000000474974513,6795.0,4530.0,,,,,,,,69,0.166914701461792,0.5739514231681824,5.6790361404418945,292.6672058105469,,,
,10,0.6916850805282593,5.676776885986328,,,,,0.9951224327087402,0.024459967389702797,0.02389531210064888,0.03583938628435135,0.03608353063464165,0.03819424659013748,0.0360688641667366,71,,,,,0.5960264801979065,5.6754655838012695,291.62408447265625
14.0,10,,,0.008571147918701172,0.0010000000474974513,6795.0,4530.0,,,,,,,,83,0.07117962837219238,0.6916850805282593,5.675786018371582,291.717529296875,,,
,12,0.6622517108917236,5.673473834991455,,,,,0.9951224327087402,0.024485034868121147,0.02389529161155224,0.035891469568014145,0.03608355671167374,0.03838467225432396,0.03606909140944481,85,,,,,0.6181015372276306,5.672309398651123,290.7051086425781
14.0,12,,,0.00837397575378418,0.0010000000474974513,6795.0,4530.0,,,,,,,,97,0.06647491455078125,0.6328182816505432,5.67244291305542,290.7439270019531,,,
,14,0.6769683957099915,5.669836044311523,,,,,0.9951224327087402,0.02452060580253601,0.0238952673971653,0.035999905318021774,0.036083608865737915,0.038794517517089844,0.036069538444280624,99,,,,,0.6181015372276306,5.668835163116455,289.6968688964844
14.0,14,,,0.008481025695800781,0.0010000000474974513,6795.0,4530.0,,,,,,,,111,0.06856250762939453,0.6916850805282593,5.6687822341918945,289.6815490722656,,,
,16,0.647534966468811,5.665918827056885,,,,,0.9951224327087402,0.024568656459450722,0.023895245045423508,0.03617515414953232,0.03608369454741478,0.039472103118896484,0.03607024997472763,113,,,,,0.6622516512870789,5.665091037750244,288.6142578125
14.0,16,,,0.008439064025878906,0.0010000000474974513,6795.0,4530.0,,,,,,,,125,0.1845250129699707,0.647534966468811,5.664829730987549,288.5388488769531,,,
,18,0.647534966468811,5.66175651550293,,,,,0.9951224327087402,0.024628061801195145,0.023895220831036568,0.036428991705179214,0.03608379885554314,0.04043418541550636,0.03607127442955971,127,,,,,0.684326708316803,5.661112308502197,287.4682312011719
14.0,18,,,0.008522510528564453,0.0010000000474974513,6795.0,4530.0,,,,,,,,139,0.0679173469543457,0.6916850805282593,5.660566329956055,287.3113098144531,,,
,20,0.6769683957099915,5.657375812530518,,,,,0.9951224327087402,0.024700140580534935,0.02389519289135933,0.0367731936275959,0.03608394041657448,0.041700925678014755,0.036072660237550735,141,,,,,0.684326708316803,5.656928062438965,286.26788330078125
14.0,20,,,0.008447647094726562,0.0010000000474974513,6795.0,4530.0,,,,,,,,153,0.06701970100402832,0.6769683957099915,5.655938625335693,285.9847717285156,,,
,22,0.6622517108917236,5.652797222137451,,,,,0.9951224327087402,0.024788521230220795,0.02389517053961754,0.037217095494270325,0.0360841266810894,0.0432775653898716,0.03607445955276489,155,,,,,0.6622516512870789,5.652553081512451,285.0182189941406
14.0,22,,,0.008307456970214844,0.0010000000474974513,6795.0,4530.0,,,,,,,,167,0.06698799133300781,0.647534966468811,5.651697635650635,284.7745056152344,,,
,24,0.6622517108917236,5.64804220199585,,,,,0.9951224327087402,0.024892987683415413,0.023895151913166046,0.03776119649410248,0.036084357649087906,0.045153629034757614,0.03607669845223427,169,,,,,0.6622516512870789,5.64801025390625,283.7263488769531
