batches_per_epoch,epoch,full_train_acc,full_train_loss,fwd_time_in_epoch,learning_rate,len_train_ds,len_val_ds,paramnorm_transformer.decoder.blocks.0.ffn.ffn.0.weight,paramnorm_transformer.decoder.blocks.0.ffn.ffn.2.weight,paramnorm_transformer.decoder.blocks.0.ffn_norm.bias,paramnorm_transformer.decoder.blocks.0.ffn_norm.weight,paramnorm_transformer.decoder.blocks.0.self_attn.Wo.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.0.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.0.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.0.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.1.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.1.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.1.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.2.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.2.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.2.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.3.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.3.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.3.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn_norm.bias,paramnorm_transformer.decoder.blocks.0.self_attn_norm.weight,paramnorm_transformer.decoder.blocks.1.ffn.ffn.0.weight,paramnorm_transformer.decoder.blocks.1.ffn.ffn.2.weight,paramnorm_transformer.decoder.blocks.1.ffn_norm.bias,paramnorm_transformer.decoder.blocks.1.ffn_norm.weight,paramnorm_transformer.decoder.blocks.1.self_attn.Wo.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.0.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.0.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.0.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.1.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.1.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.1.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.2.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.2.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.2.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.3.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.3.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.3.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn_norm.bias,paramnorm_transformer.decoder.blocks.1.self_attn_norm.weight,paramnorm_transformer.embedding.weight,paramnorm_transformer.linear.weight,step,time_per_epoch,train_accuracy,train_loss,train_perplexity,val_accuracy,val_loss,val_perplexity
12.0,0,,,0.04720568656921387,0.0,5645.0,3764.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0.2207028865814209,0.44286978244781494,5.575881004333496,263.9820251464844,,,
,2,0.4782993793487549,5.57347297668457,,,,,0.05094101279973984,0.02548867277801037,4.080772487213835e-05,0.999150276184082,0.05108458921313286,0.05108686164021492,0.05110492929816246,0.05104760825634003,0.051741961389780045,0.05082438141107559,0.050720635801553726,0.051300548017024994,0.05095498636364937,0.051482412964105606,0.05091254040598869,0.050785645842552185,0.05122615024447441,3.98562551708892e-05,0.999150276184082,0.050985582172870636,0.025566328316926956,4.13767593272496e-05,0.9991363286972046,0.050956737250089645,0.05025813356041908,0.05105821043252945,0.051392972469329834,0.0513320155441761,0.05136604234576225,0.051321592181921005,0.05144677311182022,0.05092683061957359,0.05140818655490875,0.05038866028189659,0.05118357017636299,0.05111197382211685,4.1046801925404e-05,0.999150276184082,1.0031002759933472,0.050824422389268875,13,,,,,0.5313495993614197,5.576099395751953,264.0396728515625
12.0,2,,,0.04183173179626465,0.0010000000474974513,5645.0,3764.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,0.3355841636657715,0.53144371509552,5.571715354919434,262.8846435546875,,,
,4,0.49601414799690247,5.567526817321777,,,,,0.05087992176413536,0.025458116084337234,9.103049524128437e-05,0.9979520440101624,0.05102312192320824,0.051025595515966415,0.051043640822172165,0.050985872745513916,0.05167989432811737,0.05076341703534126,0.05066027492284775,0.051239050924777985,0.05089389905333519,0.05142020434141159,0.050851497799158096,0.05072475224733353,0.05116443708539009,8.947788592195138e-05,0.9979519844055176,0.05092441663146019,0.025535637512803078,9.155445877695456e-05,0.9979196190834045,0.050895459949970245,0.05019787326455116,0.050996992737054825,0.05133143812417984,0.05127045884728432,0.05130444094538689,0.051259368658065796,0.0513850674033165,0.05086575075984001,0.05134693533182144,0.050328224897384644,0.05112218111753464,0.05105019733309746,9.041310113389045e-05,0.9979519844055176,1.0018972158432007,0.05076195299625397,25,,,,,0.5313495993614197,5.570353984832764,262.5270080566406
12.0,4,,,0.04376506805419922,0.0010000000474974513,5645.0,3764.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,0.3467726707458496,0.4782993495464325,5.565162658691406,261.1676940917969,,,
,6,0.49601414799690247,5.561366081237793,,,,,0.05081890895962715,0.025427604094147682,0.00014534409274347126,0.9967551827430725,0.0509616956114769,0.05096440017223358,0.05098242685198784,0.05092442408204079,0.05161793902516365,0.05070255696773529,0.05059991776943207,0.051177602261304855,0.05083286762237549,0.05135776102542877,0.050790511071681976,0.05066392198204994,0.05110282078385353,0.0001425332884537056,0.9967551231384277,0.05086332932114601,0.025504985824227333,0.0001440182386431843,0.9967047572135925,0.050834327936172485,0.050137680023908615,0.050935838371515274,0.05126991495490074,0.051208965480327606,0.05124290660023689,0.05119740217924118,0.05132344737648964,0.050804752856492996,0.05128565803170204,0.05026785656809807,0.051060862839221954,0.050988756120204926,0.00014345260569825768,0.9967551231384277,1.0006955862045288,0.05069960281252861,37,,,,,0.5579171180725098,5.564361572265625,260.95855712890625
12.0,6,,,0.04108762741088867,0.0010000000474974513,5645.0,3764.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,0.22672748565673828,0.5845881104469299,5.559998035430908,259.8222961425781,,,
,8,0.53144371509552,5.555505752563477,,,,,0.050757963210344315,0.02539711445569992,0.0001960159424925223,0.995559811592102,0.050900451838970184,0.050903286784887314,0.05092129111289978,0.05086316540837288,0.051556024700403214,0.0506417416036129,0.05053933709859848,0.05111624300479889,0.05077191814780235,0.051295772194862366,0.050729602575302124,0.05060315877199173,0.051041506230831146,0.00019281019922345877,0.9955596327781677,0.050802331417798996,0.025474408641457558,0.00019332481315359473,0.995493471622467,0.050773344933986664,0.05007755383849144,0.05087475851178169,0.051208604127168655,0.05114755779504776,0.05118146166205406,0.05113569647073746,0.051261890679597855,0.050743818283081055,0.051224563270807266,0.05020756646990776,0.05099961906671524,0.05092725530266762,0.00019324511231388897,0.9955596327781677,0.9994953870773315,0.050637487322092056,49,,,,,0.5579171180725098,5.558698654174805,259.48492431640625
12.0,8,,,0.043866872787475586,0.0010000000474974513,5645.0,3764.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,0.34526729583740234,0.56687331199646,5.553407669067383,258.1156311035156,,,
,10,0.5845881104469299,5.549519062042236,,,,,0.050697095692157745,0.02536667324602604,0.0002500661357771605,0.9943656921386719,0.050839271396398544,0.05084223300218582,0.050860218703746796,0.05080180987715721,0.05149419605731964,0.050581008195877075,0.050479087978601456,0.0510549396276474,0.05071103200316429,0.051233772188425064,0.05066875368356705,0.05054246261715889,0.05098024755716324,0.00024541528546251357,0.9943656325340271,0.05074140429496765,0.025443866848945618,0.00024609899264760315,0.9942823648452759,0.05071233585476875,0.05001748725771904,0.050813738256692886,0.051147300750017166,0.05108620971441269,0.05112007260322571,0.051073864102363586,0.05120040848851204,0.050682954490184784,0.05116350203752518,0.05014735832810402,0.05093846097588539,0.050865717232227325,0.0002472341002430767,0.9943656921386719,0.9982966780662537,0.05057535320520401,61,,,,,0.5844845771789551,5.552853107452393,257.9725341796875
