batches_per_epoch,epoch,full_train_acc,full_train_loss,fwd_time_in_epoch,learning_rate,len_train_ds,len_val_ds,paramnorm_transformer.decoder.blocks.0.ffn.ffn.0.weight,paramnorm_transformer.decoder.blocks.0.ffn.ffn.2.weight,paramnorm_transformer.decoder.blocks.0.ffn_norm.bias,paramnorm_transformer.decoder.blocks.0.ffn_norm.weight,paramnorm_transformer.decoder.blocks.0.self_attn.Wo.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.0.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.0.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.0.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.1.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.1.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.1.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.2.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.2.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.2.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.3.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.3.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.3.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn_norm.bias,paramnorm_transformer.decoder.blocks.0.self_attn_norm.weight,paramnorm_transformer.decoder.blocks.1.ffn.ffn.0.weight,paramnorm_transformer.decoder.blocks.1.ffn.ffn.2.weight,paramnorm_transformer.decoder.blocks.1.ffn_norm.bias,paramnorm_transformer.decoder.blocks.1.ffn_norm.weight,paramnorm_transformer.decoder.blocks.1.self_attn.Wo.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.0.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.0.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.0.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.1.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.1.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.1.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.2.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.2.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.2.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.3.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.3.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.3.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn_norm.bias,paramnorm_transformer.decoder.blocks.1.self_attn_norm.weight,paramnorm_transformer.embedding.weight,paramnorm_transformer.linear.weight,step,time_per_epoch,train_accuracy,train_loss,train_perplexity,val_accuracy,val_loss,val_perplexity
7.0,0,,,0.031179189682006836,0.0,3293.0,6116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.1484065055847168,0.6073489189147949,5.524465560913086,250.75228881835938,,,
,2,1.0021257400512695,5.191622257232666,,,,,0.051187001168727875,0.025584079325199127,0.002048955764621496,0.9996699690818787,0.051067594438791275,0.05138174071907997,0.05061745271086693,0.051583029329776764,0.05134141445159912,0.050999753177165985,0.05161118134856224,0.05130216106772423,0.050061605870723724,0.05105683207511902,0.05115891247987747,0.05111434683203697,0.050637081265449524,0.0020712174009531736,0.9996469616889954,0.051015354692935944,0.025419024750590324,0.00204721768386662,0.9986029267311096,0.05108623951673508,0.05079818144440651,0.050616584718227386,0.05145145207643509,0.05170720815658569,0.050356872379779816,0.051663514226675034,0.05142363905906677,0.051184676587581635,0.0512089766561985,0.0510842427611351,0.05115390196442604,0.05081206560134888,0.00204677926376462,0.9997279644012451,1.0006400346755981,0.05101896822452545,7,,,,,0.8338783383369446,5.234884262084961,187.7073974609375
7.0,2,,,0.024125337600708008,0.000699999975040555,3293.0,6116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.37946009635925293,0.9110233783721924,5.094001770019531,163.041015625,,,
,4,1.336167573928833,4.764185905456543,,,,,0.05137206241488457,0.026022201403975487,0.00585312582552433,0.9985288977622986,0.05122317373752594,0.05150780826807022,0.05075728893280029,0.051723599433898926,0.05145462602376938,0.051093678921461105,0.051827091723680496,0.0513618178665638,0.050114408135414124,0.05115590989589691,0.05125609040260315,0.051197804510593414,0.050729308277368546,0.0059614176861941814,0.9986266493797302,0.05114511027932167,0.025783129036426544,0.006424608640372753,0.998074471950531,0.051225122064352036,0.05088344216346741,0.05071261152625084,0.05159479379653931,0.05175889655947685,0.050407785922288895,0.05170196667313576,0.051578979939222336,0.05130848288536072,0.05134035274386406,0.05116733908653259,0.05123385787010193,0.051022566854953766,0.005913366097956896,0.998666524887085,0.9998122453689575,0.05144913122057915,15,,,,,0.9973838925361633,4.8108344078063965,122.83406829833984
7.0,4,,,0.024458885192871094,0.0010000000474974513,3293.0,6116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,0.3214390277862549,1.2146978378295898,4.767267227172852,117.5974349975586,,,
,6,1.305800199508667,4.645788669586182,,,,,0.05148882791399956,0.02633548155426979,0.007502709981054068,0.9977887868881226,0.051348306238651276,0.05163660645484924,0.05089366063475609,0.05184532701969147,0.0515812486410141,0.05120784044265747,0.05196954682469368,0.05145227909088135,0.050199151039123535,0.05125864967703819,0.051359713077545166,0.05129840970039368,0.05081238970160484,0.007620797026902437,0.9979329109191895,0.05121671408414841,0.026034368202090263,0.009673931635916233,0.9994430541992188,0.05133279040455818,0.05096102133393288,0.05079224333167076,0.05169319361448288,0.05183103680610657,0.05047518387436867,0.05175353214144707,0.05169644206762314,0.051404956728219986,0.05144237354397774,0.05124913528561592,0.0513119101524353,0.05117736756801605,0.007560723926872015,0.9979673027992249,0.9991859197616577,0.05209892988204956,21,,,,,0.8992805480957031,4.694324970245361,109.32498168945312
7.0,6,,,0.024754762649536133,0.0010000000474974513,3293.0,6116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,0.1608426570892334,1.5791072845458984,4.645392417907715,104.10421752929688,,,
,8,1.3665350675582886,4.5911407470703125,,,,,0.05156616121530533,0.02659355103969574,0.008592142723500729,0.9969759583473206,0.05144565552473068,0.051799874752759933,0.051062118262052536,0.05194956064224243,0.05173087120056152,0.05134153738617897,0.052066463977098465,0.05157511308789253,0.05031229183077812,0.05135524645447731,0.051486045122146606,0.05142303556203842,0.05088521167635918,0.008651729673147202,0.9971221089363098,0.051245834678411484,0.02623876929283142,0.013659876771271229,1.0018430948257446,0.05142483860254288,0.05103781819343567,0.05087132379412651,0.05176742002367973,0.051903873682022095,0.05054277554154396,0.0518050417304039,0.051800332963466644,0.0514904223382473,0.05152449756860733,0.05132376030087471,0.05138244107365608,0.051307909190654755,0.008658458478748798,0.9971429109573364,0.9983861446380615,0.05305491015315056,29,,,,,0.8665794134140015,4.645144462585449,104.07840728759766
7.0,8,,,0.024225234985351562,0.0010000000474974513,3293.0,6116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,0.30649614334106445,1.6094746589660645,4.599709510803223,99.45541381835938,,,
,10,2.004251480102539,4.571952819824219,,,,,0.051581863313913345,0.02669021673500538,0.008852326311171055,0.9964610934257507,0.051474664360284805,0.051907654851675034,0.05117045342922211,0.05198268964886665,0.05183675140142441,0.05143575370311737,0.05208686739206314,0.05167018994688988,0.05039802938699722,0.05139853432774544,0.05157683044672012,0.051511384546756744,0.05091507360339165,0.00887093972414732,0.9965792894363403,0.051239900290966034,0.02631371282041073,0.016012879088521004,1.0033890008926392,0.0514533668756485,0.05107283964753151,0.05090854689478874,0.05178532749414444,0.051939088851213455,0.05057506263256073,0.051827676594257355,0.051846329122781754,0.051527947187423706,0.051539819687604904,0.05135829746723175,0.051414087414741516,0.051354628056287766,0.008948455564677715,0.9965929985046387,0.9978070259094238,0.053685080260038376,35,,,,,0.7521255612373352,4.631396293640137,102.65730285644531
