batches_per_epoch,epoch,full_train_acc,full_train_loss,fwd_time_in_epoch,learning_rate,len_train_ds,len_val_ds,paramnorm_embedding.weight,paramnorm_fc.bias,paramnorm_fc.weight,paramnorm_lstm.bias_hh_l0,paramnorm_lstm.bias_hh_l1,paramnorm_lstm.bias_ih_l0,paramnorm_lstm.bias_ih_l1,paramnorm_lstm.weight_hh_l0,paramnorm_lstm.weight_hh_l1,paramnorm_lstm.weight_ih_l0,paramnorm_lstm.weight_ih_l1,step,time_per_epoch,train_accuracy,train_loss,train_perplexity,val_accuracy,val_loss,val_perplexity
10.0,0,,,0.018681049346923828,0.0,4704.0,4705.0,,,,,,,,,,,,9,0.09312152862548828,0.2976190447807312,5.4670000076293945,236.74888610839844,,,
,2,1.062925100326538,5.435360431671143,,,,,0.9931919574737549,0.04984880983829498,0.051078345626592636,0.05162755027413368,0.05113751441240311,0.051941029727458954,0.05013866722583771,0.05080553889274597,0.050773099064826965,0.05071835592389107,0.05069482699036598,11,,,,,0.9776833057403564,5.436410903930664,229.61659240722656
10.0,2,,,0.010488510131835938,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,,,19,0.19002532958984375,1.0204081535339355,5.416034698486328,224.98521423339844,,,
,4,1.084183692932129,5.310782432556152,,,,,0.9931919574737549,0.05201398953795433,0.0524103045463562,0.053308963775634766,0.05314909294247627,0.05337635427713394,0.05206069350242615,0.0509975366294384,0.05137142911553383,0.050348713994026184,0.05123855173587799,21,,,,,0.9989372491836548,5.31322717666626,203.0043182373047
10.0,4,,,0.010547161102294922,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,,,29,0.18632245063781738,1.169217586517334,5.25269889831543,191.08128356933594,,,
,6,1.062925100326538,4.971368789672852,,,,,0.9931919574737549,0.05524551123380661,0.055515192449092865,0.057084836065769196,0.057169701904058456,0.05686409771442413,0.05598719045519829,0.052716538310050964,0.05377056822180748,0.05043811351060867,0.053529173135757446,31,,,,,0.9989372491836548,4.978304862976074,145.2279815673828
10.0,6,,,0.008722782135009766,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,,,39,0.08166003227233887,1.1054421663284302,4.883179664611816,132.0498809814453,,,
,8,1.1479591131210327,4.6377739906311035,,,,,0.9931919574737549,0.05824766680598259,0.059760648757219315,0.06296215951442719,0.06278587877750397,0.06252085417509079,0.061596229672431946,0.05677998438477516,0.058295559138059616,0.051342692226171494,0.05801856145262718,41,,,,,0.9139213562011719,4.656737804412842,105.29204559326172
10.0,8,,,0.01051950454711914,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,,,49,0.18349218368530273,0.8715986013412476,4.625900745391846,102.09468841552734,,,
,10,1.2967686653137207,4.5807905197143555,,,,,0.9931919574737549,0.059739284217357635,0.06278367340564728,0.06786531209945679,0.06672938913106918,0.06731993705034256,0.06561033427715302,0.06094920635223389,0.06209094449877739,0.052305564284324646,0.06191755831241608,51,,,,,0.7651434540748596,4.605373382568359,100.02031707763672
10.0,10,,,0.008749961853027344,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,,,59,0.08229565620422363,0.9141156673431396,4.586267471313477,98.12747955322266,,,
,12,1.2967686653137207,4.578932762145996,,,,,0.9931919574737549,0.060104552656412125,0.06410137563943863,0.06995934993028641,0.06819462031126022,0.06938251852989197,0.06714451313018799,0.06290515512228012,0.06354625523090363,0.052583739161491394,0.06344985961914062,61,,,,,0.7651434540748596,4.596455097198486,99.13227844238281
10.0,12,,,0.009012937545776367,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,,,69,0.08298397064208984,1.2967686653137207,4.584505558013916,97.95474243164062,,,
,14,1.2967686653137207,4.576787948608398,,,,,0.9931919574737549,0.05992517247796059,0.06446938216686249,0.07037335634231567,0.0683986097574234,0.06978370994329453,0.06736376881599426,0.06330665200948715,0.06372253596782684,0.05239710956811905,0.06364825367927551,71,,,,,0.7651434540748596,4.592446327209473,98.73567199707031
10.0,14,,,0.0096588134765625,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,,,79,0.09000301361083984,0.9778911471366882,4.582646369934082,97.77279663085938,,,
,16,1.2967686653137207,4.575582504272461,,,,,0.9931919574737549,0.059507083147764206,0.06441961973905563,0.07007259875535965,0.06807585060596466,0.06947770714759827,0.06701220571994781,0.06302986294031143,0.06337389349937439,0.05200958997011185,0.06330746412277222,81,,,,,0.7651434540748596,4.594850063323975,98.9732894897461
10.0,16,,,0.012369155883789062,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,,,89,0.21681690216064453,1.2329931259155273,4.579892158508301,97.50387573242188,,,
